"Titolo","Codice","Tipo","Volume","Autore (Cognome, Nome)","Autore (Cognome, Nome) copy","Autore (Cognome, Nome) copy copy","Anno di pubblicazione","Luogo","Editore","Tags","Fondo","Fondo (from Fondo)","pdf","Immagine","Collocazione","Disclaimer"
"Lettere 1915-1918","01.1.LIELET","Libro edito","","Liebknecht, Karl","Luxemburg, Rosa","","1967","Roma","Editori Riuniti","Politica,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Competere per coesistere","01.1.LIPCOM","Libro edito","","Lippman, Walter","","","1959","Torino","Einaudi","Politica,Economia","Venturati","Venturati","","","Biblioteca",""
"Gli scopi di guerra degli Stati Uniti","01.1.LIPSCO","Libro edito","","Lippmann, Walter","","","1946","Torino","Einaudi","Politica,Esteri","Venturati","Venturati","","","Biblioteca",""
"Inchiesta sulla gioventù sovietica","01.1.LIVINC","Libro edito","","Livi, Augusto","","","1961","Torino","Einaudi","Inchiesta,Comunismo,Esteri","Venturati","Venturati","","","Biblioteca",""
"Il regno di Badoglio","01.1.LIZREG","Libro edito","","Lizzadri, Oreste","","","1963","Milano","Edizioni Avanti!","Storia","Venturati","Venturati","","","Biblioteca",""
"Il paese sbagliato","01.1.LODPAE","Libro edito","","Lodi, Mario","","","1970","Torino","Einaudi","Inchiesta","Venturati","Venturati","","","Biblioteca",""
"I quaderni di Piadena","01.1.LODQUA","Libro edito","","Lodi, Mario","Morandi, Giuseppe","","1962","Milano","Edizioni Avanti!","Storia","Venturati","Venturati","","","Biblioteca",""
"Socialismo e comunismo","01.1.LOMFSOC","Libro edito","","Lombardi, Franco","","","1945","Roma-Milano","Società Editrice Avanti!","Socialismo,Politica","Venturati","Venturati","","","Biblioteca",""
"La programmazione ","01.1.LOMNPRO","Libro edito","","Lombardini, Siro","","","1967","Torino","Einaudi ","Politica,Economia","Venturati","Venturati","","","Biblioteca",""
"L'alternativa socialista","01.1.LOMRLAL","Libro edito","","Lombardi, Riccardo","","","1976","Cosenza","Lerici","Politica,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Scritti politici 1945-1963","01.1.LOMRSCR.45","Libro edito","","Lombardi, Riccardo","","","1978","Padova","Marsilio Editori","Politica,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Scritti politici 1963 - 1978","01.1.LOMRSCR.63","Libro edito","","Lombardi, Riccardo","","","1978","Venezia","Marsilio Editori","Politica,Socialismo","Venturati","Venturati","","","Biblioteca",""
"I centri dirigenti del PCI nella Resistenza","01.1.LONCEN","Libro edito","","Longo, Luigi","","","1977","Roma","Editori Riuniti","Storia,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Revisionismo nuovo e antico","01.1.LONREV","Libro edito","","Longo, Luigi","","","1957","Torino","Einaudi ","Politica,Storia,Economia","Venturati","Venturati","","","Biblioteca",""
"Breve storia della letteratura tedesca","01.1.LUKBRE","Libro edito","","Lukacs, Gyorgy","","","1956","Torino","Einaudi","Storia,Letteratura","Venturati","Venturati","","","Biblioteca",""
"Marcia su Roma e dintorni","01.1.LUSEMAR","Libro edito","","Lusso, Emilio","","","1957","Salso Maggiore","Il Gallo","Politica,Storia,Fascismo","Venturati","Venturati","","","Biblioteca",""
"Donne come te","01.1.LUSJDON","Libro edito","","Lussu, Joyce","","","1957","Milano-Roma","Edizioni Avanti!","Politica","Venturati","Venturati","","","Biblioteca",""
"L'accumulazione del capitale e anticritica","01.1.LUXLAC","Libro edito","","Luxemburg, Rosa","","","1960","Torino","Einaudi","Politica,Filosofia politica,Comunismo,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Breve storia economica dell'Italia medievale","01.1.LUZBRE","Libro edito","","Luzzato, Gino","","","1965","Torino","Einaudi","Storia,Economia","Venturati","Venturati","","","Biblioteca",""
"lombardi","01.1.MAFLOM","Libro edito","","Mafai, Miriam","","","1976","Milano","Feltrinelli","Politica,Socialismo","Venturati","Venturati","","","Biblioteca",""
"La pelle","01.1.MALPEL","Libro edito","","Malaparte, Curzio","","","1949","Roma-Milano","Aria d'Italia","Narrativa","Venturati","Venturati","","","Biblioteca",""
"Riformisti e rivoluzionari","01.1.MAMRIF","Libro edito","","Mammarella, Giuseppe","","","1980","Padova","Marsilio Editori","Storia","Venturati","Venturati","","","Biblioteca",""
"Alternativa compromesso socialismo","01.1.MANCALT","Libro edito","","Mancini, Giacomo","","","1977","Cosenza","Lerici","Politica,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Discorsi 1967 - 1971","01.1.MANCDIS","Libro edito","","Mancini, Giacomo","","","1971","Roma","IN.GR.ED","Poesia,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Il mondo in mano","01.1.MANNMON","Libro edito","","Mannocchia, Franco","","","1973","Milano","Corriere dei ragazzi","Educazione","Venturati","Venturati","","","Biblioteca",""
"La Confederazione Generale del Lavoro. Negli atti, nei documenti, nei congressi 1906-1926","01.1.MARCHLCON","Libro edito","","Marchetti, Luciana","","","1962","Milano","Edizioni Avanti!","Politica,Operaismo","Venturati","Venturati","","","Biblioteca",""
"Socialismo","01.1.MARCHMSOC","Libro edito","","Marchetti, Mario","","","s.d.","Roma-Milano","Edizioni Avanti!","Politica,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Eros e civiltà","01.1.MARCUERO","Libro edito","","Marcuse, Herbert","","","1964","Torino","Einaudi","Filosofia","Venturati","Venturati","","","Biblioteca",""
"L'uomo a una dimensione","01.1.MARCULUO","Libro edito","","Marcuse, Herbert","","","1968","Torino","Einaudi","Filosofia","Venturati","Venturati","","","Biblioteca",""
"Guerra popolare e rivoluzione in Jugoslavia","01.1.MARJGUE","Libro edito","","Marjanovic, Jovan","","","1962","Milano","Edizioni Avanti!","Storia,Esteri","Venturati","Venturati","","","Biblioteca",""
"I fasci siciliani","01.1.MARSFAS","Libro edito","","Marsilio, Renato ","","","1954","Milano - Roma ","Edizioni Avanti!","Storia,Socialismo,Politica","Venturati","Venturati","","","Biblioteca",""
"La conquista dei poteri","01.1.MARTECON","Libro edito","","Martinet, Gilles","","","1976","Padova","Marsilio Editori","Politica","Venturati","Venturati","","","Biblioteca",""
"Il marxismo oggi ","01.1.MARTEMAR","Libro edito","","Martinet, Jean-Paul","","","1962","Firenze","La nuova Italia ","Politica,Socialismo,Comunismo","Venturati","Venturati","","","Biblioteca",""
"I giorni sono lunghi","01.1.MARTIGIO","Libro edito","","Martini, Quinto","","","1957","Milano-Roma","Edizioni Avanti!","Narrativa","Venturati","Venturati","","","Biblioteca",""
"La concezione materialistica della storia","01.1.MARXCONC","Libro edito","","Marx, Karl","Engels, Friedrich","","1959","Roma","Editori Riuniti","Filosofia","Venturati","Venturati","","","Biblioteca",""
"Contro l'anarchismo","01.1.MARXCONT","Libro edito","","Marx, Karl","Engels, Friedrich","","1950","Roma ","Edizioni Rinascita","Politica,Storia,Filosofia","Venturati","Venturati","","","Biblioteca",""
"Critica della Economia Politica ","01.1.MARXCRI","Libro edito","","Marx, Karl","","","1947","Milano ","Istituto Editoriale Italiano ","Politica,Economia,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Discorso sul libero scambio ","01.1.MARXDIS","Libro edito","","Marx, Karl","","","1894","Milano ","Tipografia degli Operai","Socialismo,Politica","Venturati","Venturati","","","Biblioteca",""
"Ieri e Oggi","01.1.MARXIER","Libro edito","","Marx, Karl","","","1961","Milano","Feltrinelli ","Politica,Storia,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Lavoro salariato e capitale","01.1.MARXLAV","Libro edito","","Marx, Karl","","","1945","Roma","L'Unità","Politica,Filosofia politica","Venturati","Venturati","","","Biblioteca",""
"Lettere a Kugelmann","01.1.MARXLET","Libro edito","","Marx, Karl","","","1950","Roma","Edizioni Rinascita ","Politica,Comunismo","Venturati","Venturati","","","Biblioteca",""
"L’ideologia tedesca ","01.1.MARXLID","Libro edito","","Marx, Karl","","","1947","Milano ","Istituto Editoriale Italiano ","Politica,Filosofia politica,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Le lotte di classe in francia dal 1848 al 1850","01.1.MARXLOT","Libro edito","","Marx, Karl","","","1962","Roma","Editori Riuniti","Politica, Storia, Comunismo","Venturati","Venturati","","","Biblioteca",""
"Manifesto del Partito Comunista","01.1.MARXMAN","Libro edito","","Marx, Karl ","Engels, Friedrich ","","1962","Roma","Editori Riuniti ","Comunismo, Politica","Venturati","Venturati","","","Biblioteca",""
"Rivoluzione e controrivoluzione in Germania ","01.1.MARXRIV","Libro edito","","Marx, Karl","Engles Friedrich","","1949","Roma","Edizioni Rinascita ","Politica,Comunismo,Storia","Venturati","Venturati","","","Biblioteca",""
"Storia delle teorie economiche ","01.1.MARXSTO.1","Libro edito","1","Marx, Karl","","","1954","Torino","Einaudi","Politica,Filosofia,Storia,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Storia delle dottrine economiche. David Ricardo","01.1.MARXSTO.2","Libro edito","2","Marx, Karl","","","1955","Torino","Einaudi","Politica,Economia,Storia","Venturati","Venturati","","","Biblioteca",""
"Storia delle teorie economiche ","01.1.MARXSTO.3","Libro edito","3","Marx, Karl","","","1958","Torino","Einaudi","Politica,Storia,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Umanismo","01.1.MARXUMA","Libro edito","","Marx, Karl","","","1968","Torino ","Einaudi","Politica,Comunismo,Filosofia","Venturati","Venturati","","","Biblioteca",""
"Discorsi politici celebri","01.1.MASEDIS","Libro edito","","Masera, Carlo","","","1960","Milano","Nuova Accademia","Politica,Storia","Venturati","Venturati","","","Biblioteca",""
"La contestazione cinese","01.1.MASIECON","Libro edito","","Masi, Edoarda","","","1968","Torino","Einaudi","Comunismo,Inchiesta","Venturati","Venturati","","","Biblioteca",""
"Gli internazionalisti. La Banda del Matese (1876-1878)","01.1.MASINNT","Libro edito","","Masini, Pier Carlo","","","1958","Milano-Roma","Edizioni Avanti!","Storia","Venturati","Venturati","","","Biblioteca",""
"Storia degli anarchici italiani da Bakunin a Malatesta","01.1.MASINSTO","Libro edito","","Masini, Pier Carlo","","","1969","Milano","Rizzoli","Storia,Anarchismo","Venturati","Venturati","","","Biblioteca",""
"Capitalismo e comunismo","01.1.MATCCAP","Libro edito","","Matteotti, Carlo","","","s.d.","Roma","Opere Nuove","Politica,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Contro il fascismo","01.1.MATGCON","Libro edito","","Matteotti, Giacomo","","","1954","Milano-Roma","Edizioni Avanti!","Politica,Fascismo","Venturati","Venturati","","","Biblioteca",""
"Il Cittadino Scalfari","01.1.MAUCIT","Libro edito","","Mauri, Claudio","","","1983","Milano","SugarCo Edizioni","Biografico,Giornalismo","Venturati","Venturati","","","Biblioteca",""
"La riforma agraria ","01.1.MAZRIF","Libro edito","","Mazzoni Nino ","","","s.d.","Roma ","Società editrice Avanti!","Storia,Politica,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Vita di Marx","01.1.MEHVIT","Libro edito","","Mehring, Franz","","","1972","Roma","Editori Riuniti","Biografico,Filosofia","Venturati","Venturati","","","Biblioteca",""
"Cosmopolitismo e Stato Nazionale","01.1.MEICOS.1","Libro edito","1","Meinecke, Federico","","","1930","Perugia - Venezia","La Nuova Italia","Politica,Storia","Venturati","Venturati","","","Biblioteca",""
"Cosmopolitismo e Stato Nazionale","01.1.MEICOS.2","Libro edito","2","Meinecke, Federico","","","1930","Perugia - Venezia","La Nuova Italia","Politica,Storia","Venturati","Venturati","","","Biblioteca",""
"Preparare l'avvenire","01.1.MENDPRE","Libro edito","","Mendès France, Pierre","","","1968","Milano","Etas Kompass","Politica","Venturati","Venturati","","","Biblioteca",""
"La repubblica moderna","01.1.MENDREP","Libro edito","","Mendés France, Pierre","","","1963","Torino","Einaudi","Politica","Venturati","Venturati","","","Biblioteca",""
"La partigiana nuda","01.1.MENEPAR","Libro edito","","Meneghetti, Egidio","","","1958","Milano-Roma","Edizioni Avanti!","Poesia,Resistenza","Venturati","Venturati","","","Biblioteca",""
"Uomini,  animali e ancora uomini","01.1.MENEUOM","Libro edito","","Meneghetti, Egidio","","","1961","Milano","Edizioni Avanti!","Filosofia","Venturati","Venturati","","","Biblioteca",""
"Lettere dalle case chiuse","01.1.MERNLLET","Libro edito","","Merlin, Lina","Barberis, Carla","","1955","Milano-Roma","Edizioni Avanti!","Politica","Venturati","Venturati","","","Biblioteca",""
"Concezione critica del socialismo libertario","01.1.MERNOCON","Libro edito","","Merlino, Saverio","","","1957","Firenze ","La nuova Italia ","Politica,Socialismo,Storia","Venturati","Venturati","","","Biblioteca",""
"Autodifese di militanti operai e democratici italiani davanti ai Tribunali","01.1.MERSAUT","Libro edito","","Merli, Stefano","","","1958","Milano-Roma","Edizioni Avanti!","Politica, Storia, Socialismo","Venturati","Venturati","","","Biblioteca",""
"I contadini russi 50 anni dopo","01.1.METCON","Libro edito","","Mett, Ida","","","1967","Milano","Edizioni Azione Comune ","Politica,Storia,Comunismo","Venturati","Venturati","","","Biblioteca",""
"La clericalizzazione dello Stato","01.1.MEZCLE","Libro edito","","Mezza, Maria Vittoria","","","1958","Milano-Roma","Edizioni Avanti!","Politica,Chiesa,Inchiesta","Venturati","Venturati","","","Biblioteca",""
"Sindacati, progresso tecnico, programmazione economica","01.1.MOMSIN","Libro edito","","Momigliano, Franco","","","1966","Torino","Einaudi","Economia","Venturati","Venturati","","","Biblioteca",""
"Scritti","01.1.MONLRSCR","Libro edito","","Mondolfo, Ugo Guido","","","1965","Firenze","La nuova Italia ","Politica,Filosofia,Economia","Venturati","Venturati","","","Biblioteca",""
"Studi sulla rivoluzione russa","01.1.MONLRSTU","Libro edito","","Mondolfo, Rodolfo","","","1968","Napoli","Morano","Storia,Esteri,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Problemi di cultura e dignità nazionale","01.1.MONLUPRO","Libro edito","","Mondolfo, Ugo Guido","","","1951","Roma","Opere Nuove","Socialismo,Politica","Venturati","Venturati","","","Biblioteca",""
"Jugoslavia oggi","01.1.MONPJUG","Libro edito","","Mondoperaio","","","1965","Milano","Mondoperaio","Politica,Esteri","Venturati","Venturati","","","Biblioteca",""
"Le origini sociali della dittatura e della democrazia: proprietari e contadini nella formazione del mondo moderno  ","01.1.MOOORI","Libro edito","","Moore jr, Barrington","","","1969","Torino ","Einaudi","Politica, Socialismo","Venturati","Venturati","","","Biblioteca",""
"Comunità e società industriale","01.1.MORAFCOM","Libro edito","","Morandi, Franco","","","1964","Milano","Comunità nuova","Politica","Venturati","Venturati","","","Biblioteca",""
"Democrazia diretta e ricostruzione capitalistica","01.1.MORARDEM","Libro edito","","Morandi, Rodolfo","","","1960","Torino","Einaudi","Politica,Economia","Venturati","Venturati","","","Biblioteca",""
"Lettere al fratello","01.1.MORARLET","Libro edito","","Morandi, Rodolfo","","","1959","Torino","Einaudi","Politica","Venturati","Venturati","","","Biblioteca",""
"Lotta di popolo","01.1.MORARLOT","Libro edito","","Morandi, Rodolfo","","","1958","Torino","Einaudi","Politica","Venturati","Venturati","","","Biblioteca",""
"Il partito e la classe","01.1.MORARPAR","Libro edito","","Morandi, Rodolfo","","","1961","Torino","Einaudi","Politica","Venturati","Venturati","","","Biblioteca",""
"Storia della grande industria in Italia","01.1.MORARSTO","Libro edito","","Morandi, Rodolfo","","","1959","Torino","Einaudi","Storia","Venturati","Venturati","","","Biblioteca",""
"Non vogliamo morire","01.1.MORONON","Libro edito","","Moro, Paolo","","","1960","Milano ","Edizioni Avanti!","Storia,Socialismo,Politica","Venturati","Venturati","","","Biblioteca",""
"Diario di un operaio -  1956-1959","01.1.MOTDIA","Libro edito","","Mothé, Daniel","","","1960","Torino","Einaudi ","Politica,Operaismo","Venturati","Venturati","","","Biblioteca",""
"Una regione per programma","01.1.MUSCREG","Libro edito","","Muscarà, Calogero","","","1968","Padova","Marsilio Editori","Politica,Amministrazione","Venturati","Venturati","","","Biblioteca",""
"Da Garibaldi al socialismo","01.1.MUSIDAG","Libro edito","","Musini, Luigi","","","1961","Milano","Edizioni Avanti!","Politica,Storia,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Il pensiero economico del 900","01.1.NAPPEN","Libro edito","","Napoleoni, Claudio ","","","1963","Torino","Einaudi ","Politica, Economia","Venturati","Venturati","","","Biblioteca",""
"Gli anni del centro sinistra","01.1.NENANN","Libro edito","","Nenni, Pietro","","","1981","Milano","Sugarco","Biografico,Socialismo","Venturati","Venturati","","","Biblioteca",""
"I conti con la storia. Diari 1967-1971","01.1.NENCON","Libro edito","","Nenni, Pietro","","","1981","Milano","Sugarco","Biografico,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Il diciannovismo","01.1.NENDIC","Libro edito","","Nenni, Pietro","","","1962","Milano","Avanti!","Politica,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Garibaldi","01.1.NENGAR","Libro edito","","Nenni, Pietro","","","1961","Milano","Edizioni Avanti!","Politica,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Le prospettive del socialismo dopo la destalinizzazione","01.1.NENPRO","Libro edito","","Nenni, Pietro","","","1962","Torino","Einaudi","Politica,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Il socialismo nella democrazia ","01.1.NENSOC","Libro edito","","Nenni, Pietro ","","","1966","Firenze","Vallecchi","Politica,Storia,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Spagna","01.1.NENSPA.58","Libro edito","","Nenni, Pietro","","","1958","Milano","Edizioni Avanti!","Politica,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Spagna","01.1.NENSPA.62","Libro edito","","Nenni, Pietro","","","1962","Milano","Edizioni Avanti!","Politica,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Taccuino 1942","01.1.NENTAC","Libro edito","","Nenni, Pietro","","","1955","Milano-Roma","Edizioni Avanti!","Politica,Storia,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Tempo di guerra fredda. Diari 1943-1956","01.1.NENTEM","Libro edito","","Nenni, Pietro","","","1981","Milano","Sugarco","Biografico,Esteri,Socialismo,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Il maggiore è un rosso","01.1.NITMAG","Libro edito","","Nitti, Francesco Fausto","","","1955","Milano-Roma","Edizioni Avanti!","Storia","Venturati","Venturati","","","Biblioteca",""
"Kabulista!","01.1.NOCKAB","Libro edito","","Nociti, Antonello","","","1983","Milano","Rizzoli","Politica,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Breve storia dell'Africa","01.1.OLIRBRE","Libro edito","","Oliver, Roland","D.Fage John","","1965","Torino","Einaudi ","Esteri, Storia","Venturati","Venturati","","","Biblioteca",""
"Il controllo delle nascite","01.1.OLITCON","Libro edito","","Olivetti, Vittoria","","","1957","Milano-Roma","Edizioni Avanti!","Politica,Economia","Venturati","Venturati","","","Biblioteca",""
"L'occupazione del potere. I democristiani '45/'75","01.1.ORFLOC","Libro edito","","Orfei, Ruggero","","","1976","Milano","Longanesi","Inchiesta,Democrazia Cristiana","Venturati","Venturati","","","Biblioteca",""
"Critica liberale 1952-1966","01.1.ORSECRI.1","Libro edito","1","Orsello, Gian Piero","","","1969","Firenze","Landi","Politica,Liberalismo","Venturati","Venturati","","","Biblioteca",""
"Critica liberale 1952-1966","01.1.ORSECRI.2","Libro edito","2","Orsello, Gian Piero","","","1969","Firenze","Landi","Politica,Liberalismo","Venturati","Venturati","","","Biblioteca",""
"Memorie di un italiano terribile","01.1.ORSIMEM","Libro edito","","Orsini, Felice","","","1970","Milano","Club degli Editori","Biografico","Venturati","Venturati","","","Biblioteca",""
"Da Mindszenty a Grösz","01.1.OTTDAM","Libro edito","","Ottavio Pastore","","","1952","Roma","Macchia","Storia,Esteri","Venturati","Venturati","","","Biblioteca",""
"Scritti","01.1.PAGASCR","Libro edito","","Pagliari, Fausto","","","1963","Firenze","La nuova Italia ","Politica,Storia,Economia","Venturati","Venturati","","","Biblioteca",""
"Matteotti socialista","01.1.PAGUMAT","Libro edito","","Pagliuca, Anna","","","1965","Roma","Sezione Stampa e Propaganda della Direzione del PSI","Biografico,Socialismo,Resistenza,Fascismo","Venturati","Venturati","","","Biblioteca",""
"Le crisi che ho vissuto","01.1.PAJCRI","Libro edito","","Pajetta, GianCarlo","","","1982","Roma","Editori Riuniti","Politica,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Il ragazzo rosso","01.1.PAJRAG","Libro edito","","Pajetta, Giancarlo","","","1983","Milano","Mondadori ","Biografico,Comunismo","Venturati","Venturati","","","Biblioteca",""
"I precursori di Lenin","01.1.PALPRE","Libro edito","","Paléologue, Maurizio","","","1947","Milano","Garzanti","Politica,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Storia della dominazione europea in Asia","01.1.PANISTO","Libro edito","","Panikkar, Kavalam","","","1958","Torino","Einaudi","Storia","Venturati","Venturati","","","Biblioteca",""
"Ottobre addio","01.1.PANSSOTT","Libro edito","","Pansa, Giampaolo","","","1982","Milano","Mondadori","Politica","Venturati","Venturati","","","Biblioteca",""
"Mafia e politica. 1943-1962","01.1.PANTMAF","Libro edito","","Pantalone, Michele","","","1962","Torino","Einaudi","Inchiesta,Storia","Venturati","Venturati","","","Biblioteca",""
"Due mesi con i nazisti","01.1.PARDUE","Libro edito","","Parri, Ferruccio","","","1973","Roma","Carecas","Biografico,Fascismo,Resistenza","Venturati","Venturati","","","Biblioteca",""
"Il comunismo italiano nella seconda guerra mondiale","01.1.PCICOM","Libro edito","","PCI","","","1963","Roma","Editori Riuniti","Storia,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Storia, politica, organizzazione nella lotta dei comunisti italiani per un nuovo blocco storico","01.1.PCISTO","Libro edito","","PCI","","","1972","Roma","Critica Marxista","Politica,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Il Partito Socialista Italiano nei suoi Congressi. Volume I: 1892-1902","01.1.PEDPAR.1","Libro edito","1","Pedone, Franco","","","1959","Milano","Edizioni Avanti!","Politica,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Il Partito Socialista Italiano nei suoi Congressi. Volume II: 1902-1917","01.1.PEDPAR.2","Libro edito","2","Pedone, Franco","","","1961","Milano","Edizioni Avanti!","Politica,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Il centauro comunista","01.1.PELLCEN","Libro edito","","Pellicani, Luciano","","","1976","Firenze","Vallecchi","Politica,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Gramsci e la questione comunista","01.1.PELLGRA","Libro edito","","Pellicani, Luciano","","","1976","Firenze","Vallecchi","Politica,Comunismo,Storia,Filosofia politica","Venturati","Venturati","","","Biblioteca",""
"La tragedia della classe operaia","01.1.PELMTRA","Libro edito","","Pellicani, Michele","","","1964","Milano","Azione Comune","Politica,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Conversazione con Umberto Terracini","01.1.PENCON","Libro edito","","Pendinelli, Mario","","","1981","Milano","Rizzoli","Politica,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Il Cittadino. Testo e commento alla Costituzione Italiana","01.1.PESCIT","Libro edito","","Pestalozza, Luigi","","","1958","Milano-Roma","Edizioni Avanti!","Giuridico","Venturati","Venturati","","","Biblioteca",""
"Il Cittadino. Testo e commento alla Costituzione Italiana","01.1.PESCITbis","Libro edito","","Pestalozza, Luigi","","","1957","Milano","Edizioni Avanti!","Politica","Venturati","Venturati","","","Biblioteca",""
"Il diritto di non tremolare","01.1.PESDIR","Libro edito","","Pestalozza, Luigi","","","1956","Milano-Roma","Edizioni Avanti!","Politica","Venturati","Venturati","","","Biblioteca",""
"Poeti ungheresi","01.1.PETOPOE","Libro edito","","Petöfi, Sandor","Ady Endre","Jòzsef Attila","1959","Milano ","Edizioni Avanti!","Letteratura","Venturati","Venturati","","","Biblioteca",""
"Sulla teoria economica del socialismo","01.1.PETRICSUL","Libro edito","","Petriccione, Sandro","","","1963","Milano","Azione Comune","Economia,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Roma ore 11","01.1.PETRIEROM","Libro edito","","Petri, Elio","","","1956","Milano - Roma","Edizioni Avanti!","Inchiesta","Venturati","Venturati","","","Biblioteca",""
"Gli scioperi politici nella dottrina e nella giurisprudenza italiana","01.1.PETROSCI","Libro edito","","Petrocelli, Biago","","","1953","Roma","Tipografia Babuino","Giuridico","Venturati","Venturati","","","Biblioteca",""
"Gelli. La carriera di un eroe di questa Italia","01.1.PIAGEL","Libro edito","","Piazzesi, Gianfranco","","","1983","Milano","Garzanti","Biografico,Inchiesta","Venturati","Venturati","","","Biblioteca",""
"Capitalismo ed economia: idealismo e materialismo storico nell’economia politica ","01.1.PIECAP","Libro edito","","Pietranera, Giulio ","","","1961","Torino ","Einaudi ","Economia, Storia, Politica","Venturati","Venturati","","","Biblioteca",""
"L'Italia nella prima guerra mondiale","01.1.PIERLIT","Libro edito","","Pieri, Piero","","","1965","Torino","Einaudi","Storia,Grande Guerra","Venturati","Venturati","","","Biblioteca",""
"Moro fu vera gloria?","01.1.PIETMOR","Libro edito","","Pietra, Italo","","","1983","Milano","Garzanti","Inchiesta","Venturati","Venturati","","","Biblioteca",""
"Meglio rossi che morti?","01.1.PILMEG","Libro edito","","Pillitteri, Paolo","","","1982","Milano","SugarCo Edizioni","Politica","Venturati","Venturati","","","Biblioteca",""
"Nero su bianco","01.1.PILNER","Libro edito","","Pillitteri, Paolo","","","1981","Milano","SugarCo Edizioni","Biografico","Venturati","Venturati","","","Biblioteca",""
"Somalia '81. Intervista con Siad Barre","01.1.PILSOM","Libro edito","","Pillitteri, Paolo","","","1981","Milano","Sugarco","Giornalismo,Esteri","Venturati","Venturati","","","Biblioteca",""
"Il colpo di Stato del 25 luglio","01.1.PINTCOL","Libro edito","","Pintor, Giaime","","","1974","Torino","Einaudi","Politica,Inchiesta,Storia,Fascismo","Venturati","Venturati","","","Biblioteca",""
"comunismo domani","01.1.PINZCOM","Libro edito","","Pinzauti, Mario","","","1966","Milano","Azione Comune","Politica,Comunismo","Venturati","Venturati","","","Biblioteca",""
"Cenno storico d'Italia","01.1.PISCEN","Libro edito","","Pisacane, Carlo","","","1957","Milano-Roma","Edizioni Avanti!","Storia","Venturati","Venturati","","","Biblioteca",""
"Dell'arte bellica in Italia","01.1.PISDEL","Libro edito","","Pisacane, Carlo","","","1957","Milano-Roma","Edizioni Avanti!","Storia","Venturati","Venturati","","","Biblioteca",""
"Guerra combattuta in Italia negli anni 1848-49","01.1.PISGUE","Libro edito","","Pisacane, Carlo","","","1961","Milano","Edizioni Avanti!","Storia","Venturati","Venturati","","","Biblioteca",""
"Ordinamento dell'esercito italiano","01.1.PISORD","Libro edito","","Pisacane, Carlo","","","1957","Milano-Roma","Edizioni Avanti!","Amministrazione,Giuridico","Venturati","Venturati","","","Biblioteca",""
"La rivoluzione","01.1.PISRIV","Libro edito","","Pisacane, Carlo","","","1957","Milano-Roma","Edizioni Avanti!","Politica","Venturati","Venturati","","","Biblioteca",""
"Critone","01.1.PLACRI","Libro edito","","Platone","","","1978","Milano","Signorelli","Filosofia","Venturati","Venturati","","","Biblioteca",""
"Le questioni fondamentali del Marxismo","01.1.PLEQUE","Libro edito","","Plekhanov, Georges","","","1947","Milano ","Istituto Editoriale Italiano","Politica,Economia,Storia","Venturati","Venturati","","","Biblioteca",""
"Il nazismo e lo sterminio degli Ebrei","01.1.POLNAZ","Libro edito","","Poliakov, Léon","","","1961","Torino","Einaudi","Storia","Venturati","Venturati","","","Biblioteca",""
"L'impresa pubblica nell'esperienza italiana","01.1.POSLIM","Libro edito","","Posner, M.V.","Woolf, S.J.","","1967","Torino","Einaudi","Economia,Amministrazione","Venturati","Venturati","","","Biblioteca",""
"Praxis ed Empirismo","01.1.PREGPRA","Libro edito","","Preti, Giulio","","","1957","Torino","Einaudi","Filosofia","Venturati","Venturati","","","Biblioteca",""
